day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,0.0,0.0,0.0,0,0,1.0,False
2,0.0,0.0,0.0,0,0,1.0,False
3,0.0,0.0,0.0,0,0,1.0,False
4,0.0,0.0,0.0,0,0,1.0,False
5,0.0,0.0,0.0,0,0,1.0,False
6,0.0,0.0,0.0,0,0,1.0,False
7,0.0,0.0,0.0,0,0,1.0,False
8,0.0,0.0,0.0,0,0,1.0,False
9,0.0,0.0,0.0,0,0,1.0,False
10,0.0,0.0,0.0,0,0,1.0,False
11,0.0,0.0,0.0,0,0,1.0,False
12,0.0,0.0,0.0,0,0,1.0,False
13,0.0,0.0,0.0,0,0,1.0,False
14,54.689444081608784,0.0,100.0,0,0,1.0,False
15,0.0,0.0,0.0,0,0,1.0,False
16,0.0,0.0,0.0,0,0,1.0,False
17,54.689444081608784,0.0,100.0,0,0,1.0,False
18,0.0,0.0,0.0,0,0,1.0,False
19,0.0,0.0,0.0,0,0,1.0,False
20,0.0,0.0,0.0,0,0,1.0,False
21,0.0,0.0,0.0,0,0,1.0,False
22,0.0,0.0,0.0,0,0,1.0,False
23,0.0,0.0,0.0,0,0,1.0,False
24,0.0,0.0,0.0,0,0,1.0,False
25,54.689444081608784,0.0,100.0,0,0,1.0,False
26,54.689444081608784,0.0,100.0,0,0,1.0,False
27,0.0,0.0,0.0,0,0,1.0,False
28,0.0,0.0,0.0,0,0,1.0,False
29,0.0,0.0,0.0,0,0,1.0,False
30,0.0,0.0,0.0,0,0,1.0,False
